x:85.00,y:-0.20,z:-430.40,t:289526
x:55.80,y:349.80,z:183.60,t:289530
x:-176.60,y:-621.00,z:29.60,t:289534
x:329.60,y:516.60,z:-309.20,t:289539
x:-246.00,y:348.00,z:194.60,t:289543
x:-231.20,y:-243.20,z:-75.00,t:289547
x:204.00,y:693.00,z:-401.60,t:289551
x:-529.60,y:-605.60,z:628.60,t:289555
x:206.80,y:-484.20,z:-612.20,t:289559
x:183.00,y:406.20,z:211.20,t:289563
x:-324.00,y:-435.00,z:190.80,t:289567
x:611.00,y:216.20,z:-377.40,t:289571
x:-90.60,y:122.40,z:717.20,t:289574
x:-128.60,y:-492.40,z:-137.00,t:289579
x:262.80,y:744.20,z:-304.20,t:289583
x:-366.60,y:-277.60,z:562.40,t:289587
x:186.80,y:-110.60,z:-426.00,t:289591
x:36.20,y:-184.80,z:-497.60,t:289595
x:201.80,y:159.20,z:157.20,t:289599
x:-318.60,y:-535.40,z:191.40,t:289603
x:73.60,y:18.40,z:-378.60,t:289607
x:-150.40,y:-424.20,z:254.00,t:289611
x:-637.80,y:-606.20,z:289.00,t:289615
x:796.60,y:782.20,z:-297.20,t:289619
x:-359.00,y:9.80,z:354.40,t:289624
x:-194.40,y:-720.80,z:-83.60,t:289627
x:102.20,y:682.20,z:-284.40,t:289631
x:-535.80,y:-497.80,z:249.80,t:289635
x:489.00,y:-412.40,z:-36.00,t:289639
x:349.20,y:557.80,z:159.20,t:289643
x:-380.00,y:-730.20,z:201.00,t:289647
x:266.20,y:87.40,z:-332.80,t:289651
x:-303.40,y:230.00,z:295.00,t:289655
x:-54.00,y:-558.80,z:-142.40,t:289659
x:365.60,y:247.40,z:-131.00,t:289664
x:-324.60,y:-256.60,z:468.80,t:289668
x:-37.00,y:-522.60,z:-321.40,t:289672
x:229.20,y:385.80,z:143.40,t:289675
x:-239.80,y:-337.40,z:196.80,t:289679
x:-25.20,y:-115.60,z:-411.60,t:289683
x:-69.60,y:513.80,z:287.00,t:289687
x:-340.00,y:-606.20,z:274.60,t:289691
x:231.60,y:247.20,z:-575.20,t:289699:293528
x:570.40,y:200.40,z:196.60,t:293532
x:353.40,y:280.80,z:148.80,t:293536
x:-630.20,y:-556.40,z:299.80,t:293540
x:-38.20,y:17.60,z:-336.60,t:293544
x:-117.80,y:739.40,z:-223.80,t:293548
x:-477.00,y:-439.20,z:101.00,t:293552
x:731.80,y:174.00,z:-221.00,t:293556
x:-1.20,y:112.40,z:211.40,t:293560
x:-326.20,y:-1019.40,z:185.60,t:293564
x:306.40,y:549.60,z:-213.80,t:293568
x:-339.60,y:88.00,z:355.60,t:293572
x:22.00,y:-249.80,z:-274.60,t:293576
x:421.80,y:749.20,z:-28.40,t:293580
x:-403.80,y:-276.00,z:657.20,t:293584
x:-68.40,y:-136.00,z:-666.20,t:293588
x:544.20,y:715.40,z:-101.20,t:293593
x:-599.40,y:-761.80,z:358.00,t:293597
x:183.80,y:332.80,z:-798.00,t:293600
x:-263.40,y:-32.00,z:580.40,t:293604
x:-371.00,y:-368.60,z:-451.40,t:293608
x:490.20,y:477.40,z:-372.40,t:293612
x:-303.40,y:-27.00,z:782.80,t:293616
x:26.80,y:-248.00,z:-206.00,t:293620
x:193.80,y:628.80,z:-35.40,t:293624
x:-456.80,y:-205.80,z:427.40,t:293628
x:363.00,y:210.20,z:-975.20,t:293633
x:-75.20,y:220.40,z:242.80,t:293637
