x:133.60,y:284.60,z:-361.40,t:35593
x:-20.60,y:285.40,z:158.20,t:35596
x:-300.40,y:446.00,z:419.20,t:35600
x:-449.60,y:576.20,z:554.40,t:35604
x:-457.40,y:310.00,z:-97.60,t:35608
x:-580.20,y:578.60,z:271.60,t:35612
x:-511.80,y:662.40,z:446.20,t:35616
x:-152.40,y:699.40,z:184.60,t:35620
x:467.00,y:471.20,z:5.20,t:35623
x:765.40,y:-409.40,z:462.80,t:35628
x:514.40,y:-841.00,z:669.80,t:35632
x:144.40,y:-540.60,z:393.00,t:35636
x:-109.60,y:36.60,z:-68.00,t:35640
x:-420.60,y:498.60,z:-461.60,t:35644
x:-494.20,y:599.80,z:-602.20,t:35648
x:-239.80,y:498.40,z:-603.60,t:35652
x:25.80,y:265.00,z:-185.00,t:35655
x:270.20,y:111.80,z:-71.80,t:35659
x:329.00,y:-139.40,z:376.80,t:35663
x:-78.00,y:-398.00,z:603.00,t:35667
x:-269.80,y:26.40,z:480.80,t:35672
x:-242.60,y:553.80,z:-140.00,t:35676
x:-61.00,y:480.60,z:-319.40,t:35679
x:387.40,y:-34.60,z:-267.00,t:35683
x:695.40,y:-413.40,z:-25.20,t:35687
x:652.80,y:-683.40,z:43.40,t:35691
x:85.80,y:-816.40,z:222.00,t:35695
x:-466.00,y:-484.60,z:-210.40,t:35699
x:-805.60,y:595.80,z:-472.20,t:35703
x:-507.00,y:1092.20,z:-653.00,t:35707
x:-163.80,y:780.80,z:-548.60,t:35710
x:141.00,y:74.60,z:-281.20,t:35715
x:539.00,y:-387.40,z:194.00,t:35719
x:500.20,y:-538.20,z:646.40,t:35723
x:278.00,y:-456.00,z:651.80,t:35727
x:70.80,y:-96.20,z:440.80,t:35731
x:445.60,y:182.00,z:406.40,t:35735
x:206.80,y:190.60,z:245.20,t:35739
x:70.00,y:94.60,z:83.80,t:35742
x:-86.40,y:61.60,z:99.60,t:35746
x:25.80,y:-502.40,z:-52.00,t:35750
x:603.20,y:-538.80,z:-175.20,t:35755
x:565.00,y:-244.40,z:-455.80,t:35759
x:212.20,y:40.00,z:-511.80,t:35762
x:-414.40,y:62.60,z:-438.40,t:35766
x:-706.00,y:357.40,z:-185.00,t:35770
x:-816.80,y:873.20,z:-92.40,t:35774
x:-163.40,y:812.80,z:-261.40,t:35778
x:540.80,y:60.00,z:204.00,t:35782
x:812.20,y:-751.00,z:698.00,t:35786
x:623.80,y:-826.20,z:806.60,t:35789
x:367.20,y:-471.40,z:606.80,t:35793
