x:-655.20,y:174.20,z:-3.60,t:42626
x:-648.20,y:743.60,z:-245.80,t:42630
x:-107.20,y:925.00,z:-508.00,t:42634
x:520.60,y:106.80,z:90.80,t:42638
x:719.20,y:-771.20,z:712.40,t:42642
x:679.60,y:-825.00,z:863.60,t:42645
x:290.00,y:-528.20,z:702.00,t:42649
x:-28.20,y:45.60,z:239.60,t:42653
x:380.00,y:-402.00,z:676.20,t:42657
x:130.60,y:-116.20,z:397.40,t:42661
x:48.80,y:78.80,z:22.00,t:42665
x:-407.00,y:90.20,z:-140.40,t:42669
x:-115.80,y:223.00,z:-596.40,t:42673
x:108.60,y:-164.00,z:-534.60,t:42677
x:311.00,y:-215.00,z:-532.20,t:42681
x:-81.00,y:-105.80,z:-484.00,t:42685
x:-362.00,y:138.80,z:-175.60,t:42689
x:-678.80,y:334.60,z:292.60,t:42693
x:-539.40,y:568.20,z:331.60,t:42697
x:-296.20,y:842.20,z:58.80,t:42700
x:339.20,y:507.20,z:9.00,t:42704
x:758.40,y:-465.00,z:526.40,t:42708
x:473.60,y:-992.60,z:645.60,t:42713
x:160.40,y:-685.20,z:548.20,t:42717
x:-273.40,y:-0.40,z:183.20,t:42721
x:-562.20,y:473.40,z:-296.60,t:42725
x:-513.40,y:530.80,z:-729.20,t:42728
x:-179.40,y:256.60,z:-646.20,t:42732
x:133.80,y:-16.60,z:-203.80,t:42736
x:-50.40,y:-89.00,z:58.60,t:42740
x:-177.80,y:-475.00,z:-429.60,t:42744
x:15.60,y:42.20,z:-510.00,t:42748
x:-130.60,y:339.20,z:-241.20,t:42752
x:-201.00,y:687.80,z:122.60,t:42756
x:-421.60,y:665.00,z:572.00,t:42760
x:-458.80,y:615.20,z:643.00,t:42764
x:-150.60,y:544.80,z:254.60,t:42768
x:337.40,y:188.00,z:-118.20,t:42772
x:750.80,y:-692.20,z:333.00,t:42776
x:610.80,y:-985.60,z:585.00,t:42780
x:180.40,y:-508.20,z:308.00,t:42784
x:-403.40,y:194.20,z:-104.60,t:42788
x:-669.80,y:705.40,z:-623.00,t:42791
x:-618.80,y:796.60,z:-719.60,t:42796
x:-301.40,y:448.40,z:-756.20,t:42800
x:87.00,y:92.80,z:-197.80,t:42804
x:66.80,y:-209.80,z:374.60,t:42808
x:99.60,y:-77.60,z:340.00,t:42812
x:192.00,y:-109.20,z:336.60,t:42816
x:28.80,y:-259.40,z:404.40,t:42819
x:-179.60,y:-123.80,z:318.60,t:42823
x:25.00,y:-32.60,z:63.00,t:42827
1:-121.60,y:591.20,z:29.60,t:50584
x:-466.80,y:215.20,z:744.80,t:50588
x:-10.20,t:50576
x:-370.00,y:-40.60,z:668.80,t:50580
x:-121.60,y:591.20,z:29.60,t:50584
x:-466.80,y:215.20,z:744.80,t:50588
x:-165.40,y:604.00,z:-34.80,t:50592
x:430.60,y:560.40,z:-499.80,t:50596
x:763.00,y:-167.80,z:-150.80,t:50600
x:41.20,y:-840.00,z:189.80,t:50604
x:-585.20,y:-294.40,z:5.40,t:50608
x:-514.40,y:743.20,z:-440.20,t:50612
x:183.60,y:855.80,z:-679.00,t:50616
x:630.40,y:231.80,z:-53.80,t:50620
x:494.80,y:-614.40,z:682.40,t:50624
x:-53.60,y:-718.60,z:756.40,t:50628
x:-479.60,y:-49.80,z:148.40,t:50631
x:-293.80,y:544.40,z:-773.20,t:50635
x:295.20,y:641.40,z:-776.20,t:50639
x:175.00,y:-34.20,z:-470.20,t:50643
x:-323.60,y:-163.00,z:462.60,t:50648
x:-586.40,y:163.00,z:825.20,t:50652
x:-380.40,y:508.20,z:307.00,t:50656
x:239.60,y:550.60,z:-380.00,t:50660
x:759.00,y:-142.20,z:-114.60,t:50664
x:158.20,y:-1053.40,z:420.60,t:50667
x:-490.40,y:-505.00,z:121.80,t:50671
x:-618.20,y:540.20,z:-609.40,t:50675
x:139.40,y:866.00,z:-960.80,t:50679
x:555.40,y:85.00,z:-42.80,t:50683
x:545.80,y:-718.40,z:824.20,t:50688
x:-119.40,y:-1055.00,z:1150.40,t:50692
x:14.00,y:-21.80,z:247.00,t:50696
x:-265.80,y:545.40,z:-483.20,t:50700
x:212.00,y:809.20,z:-1098.80,t:50703
x:273.20,y:-38.60,z:-433.20,t:50707
x:-246.40,y:-637.40,z:213.00,t:50711
x:-525.60,y:-112.60,z:777.00,t:50715
x:-459.40,y:558.60,z:519.60,t:50719
x:0.80,y:541.20,z:-144.60,t:50723
x:615.40,y:61.20,z:-307.40,t:50727
x:377.20,y:-747.00,z:202.80,t:50732
x:-440.80,y:-812.20,z:268.40,t:50735
x:-578.00,y:178.80,z:-201.40,t:50739
x:-195.60,y:856.60,z:-740.80,t:50743
x:407.40,y:601.40,z:-420.60,t:50747
x:653.00,y:-375.80,z:456.00,t:50751
x:229.60,y:-986.00,z:714.00,t:50755
x:-250.40,y:-812.40,z:721.40,t:50759
x:-354.20,y:-21.20,z:218.40,t:50763
x:150.20,y:824.60,z:-813.20,t:50767
x:507.00,y:265.40,z:-672.60,t:50770
x:-74.60,y:-515.20,z:-45.60,t:50775
x:470.80,y:-447.80,z:-339.00,t:50779
x:-498.60,y:343.80,z:587.40,t:50783
x:-550.20,y:-282.20,z:438.00,t:50787
x:522.20,y:369.00,z:-349.40,t:50791
x:627.20,y:-665.80,z:328.60,t:50795
x:-182.60,y:-861.80,z:522.80,t:50799
x:-737.80,y:76.00,z:-60.80,t:50802
x:-525.00,y:-503.40,z:598.40,t:50806
x:-673.80,y:563.00,z:-387.80,t:50810
x:-228.40,y:1165.80,z:-1261.60,t:50814
x:154.60,y:-653.40,z:1091.80,t:50819
x:71.80,y:-455.80,z:858.20,t:50823
x:-148.00,y:-53.80,z:65.60,t:50827
x:-240.60,y:-364.20,z:778.20,t:50831
x:-50.40,y:303.80,z:-94.00,t:50835
x:484.40,y:288.00,z:-594.00,t:50838
x:670.60,y:-249.40,z:-398.80,t:50842
x:-16.80,y:-458.80,z:-235.20,t:50846
x:-656.40,y:-128.00,z:-26.80,t:50850
x:-499.20,y:613.80,z:118.20,t:50854
x:50.20,y:721.60,z:-157.80,t:50859
x:662.20,y:-117.40,z:238.80,t:50863
x:373.00,y:-860.40,z:747.80,t:50867
x:-308.80,y:-612.80,z:500.00,t:50870
x:-467.60,y:338.40,z:-349.20,t:50874
x:-261.00,y:836.60,z:-893.20,t:50878
x:129.40,y:714.00,z:-564.20,t:50882
x:458.00,y:-18.00,z:-37.00,t:50886
x:-68.20,y:-749.60,z:618.60,t:50890
x:-525.40,y:-425.20,z:919.20,t:50894
x:-44.60,y:390.20,z:87.00,t:50897
x:430.00,y:509.60,z:-514.40,t:50902
x:737.40,y:-143.00,z:-394.80,t:50906
x:109.60,y:-766.80,z:1.60,t:50910
x:-531.40,y:-472.80,z:120.20,t:50914
x:-496.20,y:553.00,z:-239.20,t:50918
x:102.40,y:845.00,z:-493.00,t:50922
x:775.80,y:123.80,z:80.00,t:50926
x:310.80,y:-794.00,z:781.60,t:50929
x:-350.00,y:-785.40,z:683.60,t:50933
x:-401.60,y:307.00,z:-119.40,t:50937
x:-311.60,y:932.80,z:-952.60,t:50941
x:385.40,y:877.40,z:-948.40,t:50946
x:228.20,y:-307.40,z:-123.60,t:50950
x:-436.20,y:-572.40,z:801.60,t:50954
x:-479.60,y:225.00,z:664.60,t:50958
x:-144.80,y:973.40,z:-358.20,t:50962
x:343.80,y:727.20,z:-607.20,t:50966
x:654.40,y:-329.80,z:2.00,t:50969
x:839.00,y:116.00,z:-23.00,t:50973
x:324.00,y:-958.60,z:616.20,t:50977
x:-528.40,y:-698.20,z:439.00,t:50981
x:-694.60,y:401.40,z:-261.40,t:50985
x:-133.80,y:1118.20,z:-1016.60,t:50990
x:246.80,y:-1133.80,z:903.20,t:50994
x:-116.60,y:-850.00,z:716.80,t:50998
x:-398.80,y:87.40,z:98.20,t:51002
x:-255.20,y:-401.60,z:804.20,t:51005
x:-286.40,y:166.60,z:-182.40,t:51009
x:558.60,y:299.00,z:-721.40,t:51013
x:-518.80,y:-197.60,z:515.40,t:51017
x:-533.00,y:497.60,z:699.40,t:51021
x:-597.40,y:-6.20,z:263.20,t:51025
x:-486.80,y:495.40,z:450.80,t:51030
x:161.00,y:689.60,z:-164.80,t:51034
x:724.00,y:-97.80,z:222.20,t:51037
x:175.00,y:-832.80,z:651.80,t:51041
x:-533.60,y:-468.60,z:378.00,t:51045
x:-465.80,y:408.20,z:-499.80,t:51049
x:-237.60,y:817.80,z:-986.40,t:51053
x:225.00,y:594.00,z:-583.60,t:51057
x:441.00,y:-322.80,z:429.00,t:51061
x:-196.20,y:-976.00,z:840.80,t:51065
x:-339.20,y:-158.00,z:646.60,t:51069
x:4.40,y:575.20,z:-303.40,t:51073
x:527.40,y:500.00,z:-680.40,t:51077
x:602.00,y:-370.40,z:-300.40,t:51081
x:-207.40,y:-968.60,z:163.60,t:51085
x:-564.20,y:-230.00,z:141.20,t:51089
x:-479.00,y:891.40,z:-301.00,t:51093
x:248.60,y:893.60,z:-565.40,t:51097
x:676.00,y:-187.20,z:341.80,t:51101
x:89.20,y:-1009.00,z:865.80,t:51105
x:-168.20,y:-513.80,z:545.40,t:51109
x:-440.80,y:342.20,z:-69.40,t:51112
x:-404.80,y:919.00,z:-825.60,t:51117
x:213.00,y:1048.80,z:-769.00,t:51121
x:432.00,y:174.60,z:-202.40,t:51125
x:-179.80,y:-433.00,z:602.40,t:51129
x:-489.20,y:174.00,z:599.20,t:51133
x:-117.60,y:462.00,z:-213.60,t:51137
x:561.60,y:336.60,z:-541.00,t:51141
x:672.80,y:-490.40,z:-178.80,t:51145
x:42.20,y:-877.60,z:33.60,t:51148
x:-495.00,y:-388.00,z:109.20,t:51152
x:-426.20,y:645.80,z:-185.00,t:51156
x:135.40,y:898.60,z:-485.20,t:51161
x:683.40,y:32.80,z:96.80,t:51165
x:317.00,y:-817.00,z:745.60,t:51169
x:-224.00,y:-548.80,z:539.00,t:51173
x:-547.40,y:130.00,z:-210.60,t:51177
x:-564.00,y:793.80,z:-908.00,t:51180
x:156.20,y:945.60,z:-797.00,t:51184
x:470.80,y:-37.80,z:13.80,t:51188
x:-233.80,y:-582.80,z:719.00,t:51192
x:-375.60,y:64.40,z:697.80,t:51196
x:-108.40,y:430.20,z:-69.40,t:51201
x:465.40,y:213.40,z:-481.60,t:51205
x:698.00,y:-434.20,z:-206.80,t:51208
x:33.20,y:-972.20,z:99.00,t:51212
x:591.80,y:-887.80,z:399.00,t:51216
x:-241.20,y:-991.60,z:386.40,t:51220
x:-587.00,y:-60.60,z:-41.80,t:51224
x:-262.00,y:885.20,z:-945.00,t:51228
x:478.80,y:606.40,z:-684.80,t:51232
