x:-426.40,y:141.60,z:132.20,t:221859
x:595.20,y:190.60,z:-214.20,t:221863
x:-454.80,y:-236.60,z:407.00,t:221868
x:388.80,y:338.60,z:-254.20,t:221872
x:451.20,y:491.80,z:-325.00,t:221876
x:-403.00,y:-555.00,z:292.40,t:221880
x:367.60,y:667.60,z:-482.00,t:221884
x:-103.20,y:-547.00,z:177.00,t:221888
x:204.60,y:309.20,z:-141.20,t:221892
x:52.80,y:-382.80,z:161.00,t:221896
x:320.20,y:506.60,z:-206.40,t:221900
x:38.40,y:-856.20,z:373.20,t:221904
x:-18.00,y:396.80,z:-226.00,t:221908
x:121.00,y:-545.80,z:152.40,t:221913
x:-4.20,y:547.80,z:-309.00,t:221916
x:219.80,y:-407.80,z:302.20,t:221920
x:-603.40,y:-208.80,z:386.20,t:221924
x:561.60,y:252.40,z:-290.80,t:221928
x:-761.60,y:-58.80,z:691.20,t:221932
x:548.40,y:638.60,z:-558.20,t:221936
x:-923.00,y:-357.80,z:468.80,t:221940
x:912.00,y:253.20,z:-684.20,t:221944
x:-754.00,y:-876.80,z:599.80,t:221948
x:838.20,y:620.40,z:-739.60,t:221953
x:-502.80,y:-602.80,z:581.80,t:221957
x:406.00,y:634.00,z:-453.40,t:221961
x:-239.40,y:-508.60,z:399.80,t:221965
x:9.20,y:296.60,z:-122.60,t:221968
x:131.00,y:-482.20,z:176.40,t:221972
x:-152.40,y:268.40,z:38.60,t:221976
x:306.20,y:-453.20,z:-71.40,t:221980
x:-604.00,y:-277.00,z:384.60,t:221984
x:425.20,y:161.20,z:-185.00,t:221988
x:-522.60,y:-154.20,z:318.40,t:221992
x:437.80,y:281.00,z:-201.00,t:221997
x:-413.80,y:-303.40,z:304.00,t:222001
x:520.20,y:124.00,z:-281.20,t:222005
x:-789.60,y:-16.80,z:366.40,t:222009
x:806.00,y:601.00,z:-295.40,t:222013
x:-946.20,y:-474.40,z:405.60,t:222017
x:497.00,y:727.20,z:-436.20,t:222021
x:138.40,y:642.60,z:-460.20,t:222024
x:151.60,y:-748.20,z:309.20,t:222028
x:12.40,y:517.40,z:-425.00,t:222032
x:317.20,y:-690.00,z:340.00,t:222036
x:-353.60,y:497.20,z:-89.00,t:222041
x:435.60,y:19.40,z:-118.40,t:222045
x:-594.20,y:-69.60,z:220.80,t:222049
x:510.40,y:-109.20,z:-111.60,t:222053
x:-598.80,y:-124.20,z:231.40,t:222057
x:528.60,y:505.60,z:-306.00,t:222061
x:-739.80,y:-72.40,z:297.60,t:222065
x:594.00,y:449.20,z:-400.60,t:222069
x:-696.80,y:-309.80,z:284.20,t:222072
x:598.80,y:714.80,z:-433.20,t:222076
x:-536.20,y:-464.60,z:333.40,t:222081
x:500.20,y:338.00,z:-401.00,t:222085
x:-786.20,y:-635.00,z:551.40,t:222089
x:386.00,y:897.00,z:-716.20,t:222093
x:-502.40,y:-567.80,z:524.80,t:222097
x:373.80,y:370.80,z:-303.00,t:222101
x:-349.40,y:-524.80,z:367.00,t:222105
x:236.80,y:644.20,z:-368.00,t:222109
x:-202.00,y:-624.60,z:282.40,t:222113
x:69.00,y:515.80,z:-314.40,t:222117
x:21.00,y:-349.40,z:85.40,t:222121
x:-126.60,y:358.20,z:-69.40,t:222125
x:162.00,y:-194.20,z:-69.00,t:222129
x:-270.20,y:527.00,z:41.60,t:222133
x:234.80,y:-279.40,z:-54.20,t:222137
x:-191.00,y:426.00,z:190.60,t:222141
x:354.60,y:-194.60,z:-258.40,t:222145
x:-479.60,y:-88.60,z:180.20,t:222149
x:518.00,y:-378.60,z:13.80,t:222153
x:-585.80,y:-303.00,z:272.00,t:222157
x:675.80,y:27.60,z:-149.60,t:222161
x:-590.80,y:-407.20,z:368.40,t:222166
x:668.60,y:229.80,z:-133.60,t:222169
x:-606.80,y:-491.80,z:444.80,t:222173
x:414.00,y:421.60,z:-359.40,t:222177
x:-424.00,y:-728.80,z:263.60,t:222181
x:533.60,y:357.40,z:-311.60,t:222185
x:-315.20,y:-552.60,z:273.20,t:222189
