x:-213.20,y:552.60,z:-225.40,t:82837
x:198.80,y:-524.60,z:54.40,t:82841
x:111.20,y:120.40,z:151.00,t:82845
x:-413.40,y:-368.20,z:-286.60,t:82849
x:434.80,y:66.00,z:309.00,t:82853
x:-422.00,y:329.20,z:-273.00,t:82856
x:255.40,y:-455.80,z:182.00,t:82861
x:255.40,y:261.20,z:259.20,t:82865
x:-441.20,y:37.60,z:-457.60,t:82869
x:208.40,y:323.40,z:466.20,t:82873
x:-743.80,y:339.80,z:-663.80,t:82877
x:648.80,y:-340.40,z:536.40,t:82881
x:-344.40,y:156.00,z:70.40,t:82885
x:-99.20,y:-481.00,z:-145.40,t:82888
x:303.00,y:107.80,z:132.00,t:82892
x:-682.20,y:-8.80,z:-473.20,t:82896
x:607.60,y:243.80,z:258.20,t:82900
x:-165.60,y:-186.40,z:-21.00,t:82905
x:421.00,y:-211.20,z:34.20,t:82909
x:-177.40,y:-119.20,z:-30.80,t:82912
x:252.20,y:-190.00,z:-11.00,t:82916
x:-113.00,y:175.80,z:257.60,t:82920
x:-80.20,y:-43.80,z:-308.20,t:82924
x:369.40,y:-234.40,z:323.60,t:82928
x:130.40,y:198.40,z:151.80,t:82932
x:4.00,y:73.40,z:-257.20,t:82935
x:-40.20,y:-491.80,z:258.20,t:82939
x:-21.80,y:370.20,z:-218.00,t:82944
x:171.20,y:-224.20,z:159.60,t:82948
x:-36.40,y:234.20,z:109.80,t:82952
x:-395.40,y:-139.40,z:-175.40,t:82956
x:239.60,y:25.40,z:88.20,t:82960
x:-223.40,y:489.60,z:-321.60,t:82963
x:45.40,y:-214.60,z:204.00,t:82967
x:-73.20,y:310.60,z:141.00,t:82971
x:-125.20,y:-550.60,z:-303.20,t:82975
x:401.40,y:35.40,z:219.80,t:82979
x:-329.60,y:-298.60,z:-403.40,t:82983
x:118.40,y:-86.60,z:459.40,t:82988
x:-510.40,y:297.60,z:-482.40,t:82992
x:503.80,y:-649.40,z:400.00,t:82995
x:-30.60,y:274.80,z:-34.80,t:82999
x:-100.80,y:-453.80,z:-136.20,t:83003
x:495.80,y:132.60,z:104.40,t:83007
x:-583.80,y:38.60,z:-472.20,t:83011
x:535.40,y:171.00,z:412.60,t:83015
x:-248.80,y:1.00,z:-39.20,t:83018
x:326.20,y:-432.40,z:59.60,t:83022
x:-147.20,y:78.60,z:251.00,t:83026
x:-459.20,y:-189.20,z:-266.40,t:83031
x:382.00,y:412.80,z:110.80,t:83035
x:-364.00,y:-165.60,z:-256.20,t:83039
x:597.20,y:-69.60,z:144.80,t:83043
x:154.00,y:269.60,z:99.60,t:83046
x:105.60,y:123.20,z:-326.20,t:83050
x:163.20,y:-143.00,z:399.00,t:83054
