-x:250.20,y:1617.60,z:-234.20,t:131474
x:171.20,y:-473.80,z:183.60,t:132549

x:-257.60,y:164.80,z:153.20,t:132553

x:343.40,y:285.20,z:-421.00,t:132557

x:-222.80,y:-498.20,z:241.00,t:132561

x:36.40,y:408.00,z:29.60,t:132566

x:294.40,y:-643.20,z:-152.20,t:132570

x:-379.20,y:-724.00,z:741.80,t:132574

x:51.60,y:1709.20,z:-401.80,t:132578

x:221.60,y:-673.00,z:-558.00,t:132581

x:-198.40,y:-95.60,z:766.00,t:132585

x:291.20,y:1274.80,z:-745.00,t:132589

x:-84.00,y:-979.40,z:88.00,t:132593

x:400.20,y:606.80,z:513.00,t:132597

x:-34.80,y:18.60,z:-272.60,t:132601

x:-277.60,y:-516.00,z:247.20,t:132605

x:734.20,y:-199.20,z:-115.40,t:132610

x:-629.80,y:-352.00,z:373.20,t:132614

x:398.80,y:66.40,z:-411.00,t:132618

x:4.20,y:-707.80,z:441.40,t:132621

x:-264.20,y:187.20,z:170.60,t:132625

x:47.40,y:-10.20,z:-254.60,t:132629

x:-368.80,y:-608.80,z:295.40,t:132633

x:234.60,y:1045.20,z:-138.00,t:132637

x:145.60,y:-249.00,z:-433.20,t:132641

x:-569.40,y:-876.80,z:464.40,t:132645

x:286.00,y:1675.40,z:-246.20,t:132649

x:-405.80,y:-684.60,z:1087.20,t:132654

x:343.80,y:1400.60,z:-538.00,t:132658

x:-1.60,y:-880.20,z:-57.00,t:132662

x:250.40,y:257.60,z:363.40,t:132666

x:75.20,y:112.00,z:-19.60,t:132670

x:-294.20,y:-761.80,z:413.20,t:132674

x:788.20,y:-57.20,z:-110.00,t:132677

x:-436.40,y:-301.40,z:315.40,t:132681

x:131.00,y:213.20,z:-249.00,t:132685

x:54.20,y:-692.40,z:319.00,t:132689

x:11.40,y:159.40,z:39.20,t:132694

x:215.20,y:303.40,z:-288.00,t:132698

x:-336.40,y:-364.80,z:189.00,t:132702

x:-2.00,y:578.80,z:53.80,t:132706

x:607.20,y:-321.00,z:-341.40,t:132710

x:-488.60,y:-758.60,z:634.20,t:132714

x:-262.80,y:1363.00,z:99.60,t:132717

x:430.60,y:-1129.40,z:-460.20,t:132722

x:111.80,y:-229.60,z:800.60,t:132725

x:78.80,y:975.00,z:-368.60,t:132729

x:-102.00,y:-1425.80,z:-42.40,t:132733

x:284.20,y:508.00,z:513.60,t:132738

x:-62.40,y:327.60,z:-245.60,t:132742

x:-502.40,y:-553.80,z:361.40,t:132746

x:819.80,y:118.20,z:-279.40,t:132750

x:-384.40,y:-203.40,z:342.00,t:132754

x:345.60,y:92.00,z:-307.80,t:132758

x:245.60,y:-321.60,z:240.80,t:132762

x:-257.20,y:358.20,z:58.60,t:132766

x:213.80,y:328.20,z:-333.00,t:132770

x:-70.80,y:292.60,z:810.00,t:134261

x:215.20,y:314.60,z:-627.40,t:134265

x:-245.20,y:-1493.60,z:241.20,t:134257

x:-70.80,y:292.60,z:810.00,t:134261

x:215.20,y:314.60,z:-627.40,t:134265

x:-245.20,y:-1493.60,z:241.20,t:134257

x:-70.80,y:292.60,z:810.00,t:134261

x:215.20,y:314.60,z:-627.40,t:134265

