x:-206.60,y:-873.80,z:109.00,t:80979
x:-17.40,y:-20.80,z:-0.20,t:80983
x:25.60,y:589.20,z:-397.20,t:80987
x:544.20,y:584.80,z:-132.00,t:80991
x:740.40,y:530.00,z:223.40,t:80995
x:920.60,y:854.20,z:87.20,t:80999
x:193.80,y:799.60,z:-251.20,t:81003
x:-509.00,y:495.80,z:-552.40,t:81006
x:-551.80,y:539.40,z:-552.40,t:81010
x:-411.20,y:159.80,z:-56.20,t:81014
x:-455.60,y:-319.00,z:653.80,t:81018
x:-127.80,y:-1165.80,z:1027.20,t:81022
x:462.80,y:-1208.00,z:737.00,t:81027
x:688.60,y:-898.40,z:459.80,t:81031
x:613.20,y:-769.60,z:290.80,t:81035
x:68.80,y:-140.00,z:-60.80,t:81039
x:45.40,y:918.80,z:-696.20,t:81043
x:180.80,y:1799.40,z:-1439.80,t:81047
x:249.20,y:1645.40,z:-1293.00,t:81051
x:216.60,y:736.20,z:-319.80,t:81055
x:176.20,y:-181.00,z:190.00,t:81058
x:-223.60,y:-736.00,z:314.80,t:81062
x:-533.00,y:-1135.20,z:196.00,t:81067
x:-253.40,y:-1389.40,z:225.20,t:81071
x:-418.40,y:-1052.80,z:181.20,t:81075
x:-225.60,y:-297.00,z:16.60,t:81079
x:-37.60,y:-48.20,z:-105.60,t:81083
x:548.20,y:-59.60,z:140.60,t:81087
x:687.40,y:219.20,z:299.00,t:81091
x:842.60,y:669.40,z:36.60,t:81094
x:212.60,y:1013.80,z:-373.20,t:81098
x:-303.80,y:1116.60,z:-917.00,t:81102
x:-345.80,y:1049.40,z:-1030.80,t:81106
x:-479.40,y:906.80,z:-780.60,t:81111
x:-582.60,y:230.40,z:28.20,t:81115
x:-326.20,y:-895.80,z:1058.20,t:81119
x:196.40,y:-1312.60,z:1021.60,t:81123
x:680.00,y:-1080.80,z:670.40,t:81127
x:-91.40,y:-1092.20,z:1134.40,t:81131
x:186.40,y:-1455.00,z:1137.20,t:81135
x:262.40,y:-1524.60,z:864.40,t:81139
