x:92.00,y:-59.00,z:23.00,t:5541
x:56.00,y:25.00,z:-54.00,t:5547
x:-89.00,y:36.00,z:36.00,t:5551
x:-72.00,y:-45.00,z:66.00,t:5556
x:29.00,y:69.00,z:-74.00,t:5560
x:34.00,y:92.00,z:6.00,t:5565
x:15.00,y:15.00,z:139.00,t:5569
x:-2.00,y:16.00,z:37.00,t:5574
x:-37.00,y:43.00,z:-75.00,t:5578
x:65.00,y:-52.00,z:-61.00,t:5583
x:55.00,y:-40.00,z:11.00,t:5587
x:25.00,y:9.00,z:-23.00,t:5593
x:63.00,y:-33.00,z:-88.00,t:5597
x:3.00,y:83.00,z:-20.00,t:5602
x:-58.00,y:112.00,z:57.00,t:5606
x:23.00,y:44.00,z:-31.00,t:5611
x:-33.00,y:48.00,z:24.00,t:5615
x:8.00,y:62.00,z:-27.00,t:5619
x:93.00,y:-21.00,z:-63.00,t:5624
x:19.00,y:2.00,z:14.00,t:5628
x:-58.00,y:61.00,z:136.00,t:5634
x:-63.00,y:-63.00,z:65.00,t:5638
x:-3.00,y:5.00,z:-50.00,t:5643
x:-29.00,y:37.00,z:70.00,t:5647
x:46.00,y:-56.00,z:97.00,t:5652
x:54.00,y:-87.00,z:14.00,t:5656
x:-37.00,y:57.00,z:-87.00,t:5661
x:-1.00,y:-119.00,z:3.00,t:5665
x:5.00,y:-81.00,z:71.00,t:5670
x:14.00,y:60.00,z:-88.00,t:5675
x:4.00,y:-139.00,z:-32.00,t:5680
x:-36.00,y:-1.00,z:61.00,t:5684
x:6.00,y:-9.00,z:12.00,t:5688
x:-6.00,y:-33.00,z:-47.00,t:5693
x:-13.00,y:72.00,z:-54.00,t:5697
x:24.00,y:15.00,z:-4.00,t:5702
x:-46.00,y:-4.00,z:39.00,t:5706
x:-62.00,y:11.00,z:4.00,t:5711
x:-33.00,y:8.00,z:-4.00,t:5715
x:28.00,y:-117.00,z:121.00,t:5721
x:47.00,y:6.00,z:2.00,t:5725
x:8.00,y:40.00,z:10.00,t:5729
x:5.00,y:-78.00,z:66.00,t:5734
x:-1.00,y:-68.00,z:47.00,t:5738
x:-53.00,y:6.00,z:-16.00,t:5743
x:-27.00,y:35.00,z:76.00,t:5747
x:49.00,y:-137.00,z:-20.00,t:5752
x:56.00,y:15.00,z:-10.00,t:5756
x:15.00,y:82.00,z:30.00,t:5762
x:85.00,y:-7.00,z:6.00,t:5766
x:-51.00,y:-31.00,z:-22.00,t:5771
x:-3.00,y:142.00,z:-68.00,t:5775
x:71.00,y:15.00,z:-5.00,t:5780
x:-32.00,y:-48.00,z:55.00,t:5784
x:16.00,y:-43.00,z:-16.00,t:5789
x:12.00,y:-39.00,z:-51.00,t:5793
x:1.00,y:-33.00,z:93.00,t:5797
x:-88.00,y:87.00,z:47.00,t:5803
