x:-41.40,y:-34.40,z:-43.80,t:98373
x:-56.60,y:-132.20,z:-23.60,t:98377
x:-63.00,y:-104.40,z:3.60,t:98381
x:50.60,y:60.40,z:51.60,t:98385
x:59.40,y:74.80,z:4.20,t:98388
x:-5.40,y:62.40,z:-36.60,t:98393
x:-82.00,y:-120.40,z:-26.20,t:98397
x:-57.60,y:-136.40,z:-0.80,t:98400
x:36.20,y:19.20,z:77.20,t:98404
x:62.80,y:128.00,z:34.40,t:98408
x:-5.60,y:49.40,z:-41.60,t:98412
x:-24.20,y:-81.20,z:-54.40,t:98415
x:-52.40,y:-118.80,z:-11.20,t:98419
x:-2.00,y:-47.80,z:73.40,t:98423
x:15.40,y:123.20,z:17.60,t:98426
x:-3.80,y:55.20,z:-21.60,t:98430
x:-25.20,y:-20.20,z:-44.60,t:98435
x:-7.40,y:-132.40,z:-28.80,t:98439
x:4.80,y:-9.40,z:44.40,t:98442
x:-0.40,y:85.60,z:48.80,t:98446
x:4.60,y:58.00,z:9.20,t:98449
x:-16.00,y:-16.40,z:-61.40,t:98453
x:15.20,y:-56.80,z:-9.80,t:98457
x:5.20,y:-26.00,z:26.40,t:98460
x:25.40,y:39.20,z:74.00,t:98464
x:-18.80,y:63.00,z:16.60,t:98468
x:-46.60,y:13.40,z:-56.60,t:98471
x:6.80,y:-64.20,z:-39.40,t:98476
x:29.60,y:-55.80,z:3.40,t:98480
x:52.20,y:-2.20,z:82.60,t:98483
x:3.00,y:72.40,z:65.60,t:98487
x:-58.00,y:43.40,z:-70.20,t:98491
x:-41.40,y:-87.40,z:-50.20,t:98494
x:10.80,y:-98.20,z:-14.60,t:98498
x:45.20,y:-18.00,z:35.00,t:98502
x:33.80,y:139.20,z:41.20,t:98506
x:-51.80,y:87.80,z:13.80,t:98509
x:-63.20,y:-77.60,z:-38.80,t:98513
x:-29.20,y:-128.40,z:-60.20,t:98518
x:34.40,y:-32.20,z:-2.60,t:98522
x:59.40,y:114.40,z:79.40,t:98525
x:-2.60,y:36.60,z:32.20,t:98529
x:-83.60,y:-26.00,z:-28.40,t:98533
x:-19.80,y:-138.80,z:-32.20,t:98536
x:25.40,y:-26.00,z:-4.80,t:98540
x:61.80,y:58.40,z:67.60,t:98544
x:39.80,y:58.80,z:65.00,t:98547
x:-75.00,y:2.60,z:-36.60,t:98551
x:-73.00,y:-116.40,z:-33.40,t:98555
x:-33.40,y:-75.00,z:-27.00,t:98560
x:55.80,y:51.40,z:32.60,t:98563
x:72.00,y:141.00,z:57.60,t:98567
x:-29.20,y:19.20,z:-17.60,t:98571
x:-77.20,y:-127.40,z:-38.00,t:98574
x:-60.40,y:-113.60,z:-33.00,t:98578
x:26.40,y:28.00,z:-4.00,t:98582
x:75.60,y:148.20,z:27.00,t:98586
x:31.20,y:76.60,z:18.40,t:98589
x:-76.80,y:-73.40,z:-43.20,t:98593
x:-50.00,y:-120.20,z:-7.40,t:98597
x:-23.00,y:-42.80,z:-23.00,t:98600
x:63.80,y:148.20,z:18.80,t:98605
x:68.60,y:75.60,z:32.80,t:98609
x:-44.00,y:-24.60,z:-30.60,t:98613
x:-50.40,y:-159.60,z:-21.00,t:98616
x:-34.20,y:-96.60,z:-33.40,t:98620
x:83.80,y:81.40,z:54.40,t:98624
x:55.80,y:103.20,z:59.00,t:98628
x:-30.00,y:19.20,z:-43.00,t:98631
