x:-377.40,y:708.80,z:18.60,t:20051
x:-673.00,y:-886.60,z:751.40,t:20056
x:-192.20,y:-1062.20,z:152.20,t:20060
x:359.80,y:-219.00,z:98.60,t:20063
x:-66.00,y:591.80,z:132.80,t:20067
x:-482.80,y:1031.00,z:-814.40,t:20071
x:-537.60,y:481.20,z:-531.60,t:20075
x:646.60,y:-447.20,z:46.40,t:20079
x:855.60,y:-541.20,z:513.40,t:20083
x:195.80,y:-108.40,z:447.80,t:20087
x:-688.00,y:-102.00,z:5.80,t:20090
x:306.60,y:-212.60,z:19.60,t:20094
x:802.20,y:228.40,z:670.80,t:20099
x:10.80,y:204.00,z:207.20,t:20103
x:-473.00,y:-183.00,z:-80.20,t:20107
x:-183.20,y:108.60,z:-696.20,t:20111
x:208.00,y:49.60,z:173.20,t:20115
x:-848.40,y:-610.20,z:696.20,t:20118
x:-298.20,y:-1608.20,z:597.40,t:20122
x:1357.00,y:1047.40,z:-662.20,t:20126
x:766.20,y:1490.00,z:-588.80,t:20130
x:-509.40,y:-515.40,z:589.20,t:20134
x:-645.20,y:-1748.40,z:712.60,t:20139
x:75.00,y:-702.80,z:25.80,t:20143
x:285.40,y:688.20,z:-106.00,t:20147
x:-84.60,y:857.60,z:-219.60,t:20151
x:-247.00,y:592.00,z:-697.40,t:20155
x:-362.20,y:325.40,z:-440.80,t:20159
x:929.00,y:-560.00,z:398.00,t:20162
x:680.00,y:-517.60,z:447.80,t:20166
x:-128.60,y:417.60,z:441.80,t:20170
x:-1030.40,y:-128.40,z:-494.80,t:20174
x:-285.80,y:-251.00,z:-555.60,t:20178
x:871.60,y:40.40,z:358.40,t:20183
x:489.40,y:215.80,z:581.40,t:20187
x:-369.00,y:-421.40,z:230.00,t:20191
x:-117.20,y:94.00,z:-493.40,t:20195
x:202.80,y:334.40,z:-455.60,t:20199
x:-651.00,y:288.20,z:397.20,t:20202
x:-1183.40,y:-2015.00,z:716.00,t:20206
x:271.60,y:-1052.00,z:469.80,t:20210
x:1508.60,y:1872.60,z:-1033.20,t:20214
x:959.00,y:1809.00,z:-804.40,t:20218
x:-161.80,y:758.20,z:-191.60,t:20222
x:-409.20,y:-457.20,z:422.80,t:20227
x:-356.00,y:-995.40,z:185.00,t:20231
x:443.00,y:-955.40,z:440.20,t:20235
x:91.20,y:-128.60,z:490.60,t:20239
x:-783.00,y:657.80,z:-428.60,t:20243
x:-1120.80,y:521.80,z:-1186.80,t:20247
x:154.80,y:-75.60,z:-204.60,t:20251
x:920.00,y:-85.80,z:581.60,t:20255
x:445.80,y:-36.00,z:467.20,t:20258
x:-595.00,y:-214.40,z:184.00,t:20262
x:-510.60,y:-219.60,z:-709.20,t:20267
x:420.00,y:124.80,z:-214.40,t:20271
x:293.40,y:454.60,z:397.60,t:20275
x:-126.80,y:-476.40,z:408.80,t:20279
x:308.20,y:1.60,z:-298.40,t:2020:606.40,t:28181
x:45.40,y:-13.60,z:405.40,t:28185
x:-877.60,y:444.40,z:-278.80,t:28189
x:-982.20,y:-34.60,z:-1087.40,t:28193
x:195.20,y:-188.40,z:-277.60,t:28197
x:1163.40,y:-9.00,z:522.80,t:28200
x:409.80,y:339.60,z:357.20,t:28205
x:-1020.60,y:-50.20,z:-40.00,t:28209
x:-677.80,y:154.60,z:-907.20,t:28213
x:318.40,y:74.40,z:-183.40,t:28217
x:325.80,y:401.60,z:526.60,t:28221
x:-112.40,y:-277.60,z:185.60,t:28225
x:330.80,y:118.40,z:-324.20,t:28229
x:608.40,y:1016.20,z:-636.00,t:28233
x:-306.20,y:456.40,z:137.00,t:28236
x:-1531.40,y:-1281.40,z:848.60,t:28241
x:-121.00,y:-2172.80,z:626.40,t:28246
x:1371.60,y:1176.20,z:-554.40,t:28250
x:92.60,y:1036.80,z:-348.80,t:28253
x:-201.00,y:-261.60,z:412.40,t:28257
x:-376.80,y:-879.60,z:528.00,t:28261
x:-299.80,y:-1194.40,z:316.60,t:28265
x:65.40,y:-1037.80,z:492.40,t:28269
x:-368.60,y:512.80,z:47.20,t:28273
x:-704.60,y:846.00,z:-1015.00,t:28277
x:-388.40,y:45.40,z:-515.80,t:28281
x:393.40,y:-369.80,z:189.60,t:28285
x:925.20,y:-423.00,z:516.80,t:28290
x:115.20,y:-50.60,z:571.60,t:28293
x:-908.60,y:-349.80,z:-120.20,t:28297
x:-430.60,y:-151.00,z:-622.40,t:28301
x:480.40,y:245.00,z:63.80,t:28305
x:430.40,y:446.60,z:422.20,t:28309
x:-192.00,y:-490.80,z:300.20,t:28313
x:665.40,y:576.80,z:-522.60,t:28317
x:646.40,y:1298.20,z:-668.60,t:28321
x:-753.80,y:552.60,z:255.60,t:28325
x:-1484.60,y:-2039.00,z:870.80,t:28329
x:307.20,y:-1799.40,z:468.80,t:28334
x:401.60,y:-975.80,z:146.20,t:28337
x:368.40,y:823.00,z:-171.40,t:28341
x:174.40,y:568.40,z:-300.20,t:28345
x:400.80,y:844.40,z:-527.40,t:28349
x:225.60,y:532.80,z:-330.00,t:28353
x:476.00,y:-589.20,z:475.00,t:28357
x:540.20,y:-428.20,z:805.80,t:28361
x:-492.40,y:-90.80,z:392.20,t:28365
x:-201.20,y:269.80,z:-991.20,t:28369
x:657.00,y:264.60,z:11.40,t:28372
x:624.20,y:327.60,z:604.00,t:28377
x:-262.60,y:-45.40,z:196.80,t:28381
x:-920.40,y:-367.80,z:-257.60,t:28385
x:-153.80,y:238.60,z:-771.80,t:28389
x:424.20,y:384.60,z:192.20,t:28393
x:-446.80,y:-419.20,z:530.60,t:28397
x:-1.80,y:-1382.80,z:340.00,t:28401
x:1735.40,y:1340.00,z:-767.80,t:28405
x:504.20,y:1773.40,z:-696.00,t:28409
x:-960.60,y:-127.80,z:594.80,t:28412
x:-815.40,y:-1899.60,z:502.60,t:28417
x:-520.20,y:-1305.60,z:501.20,t:28421
x:195.20,y:-519.40,z:-56.20,t:28425
x:45.40,y:-120.20,z:387.00,t:28429
x:-111.40,y:802.80,z:-783.00,t:28433
x:-85.40,y:178.80,z:-254.20,t:28437
x:1255.80,y:-665.20,z:390.80,t:28441
x:500.00,y:-215.40,z:720.00,t:28445
x:-359.20,y:-310.80,z:295.20,t:28449
x:-715.40,y:-141.80,z:-572.00,t:28452
x:-294.00,y:208.00,z:-829.20,t:28456
x:472.00,y:268.00,z:217.20,t:28461
x:328.60,y:197.00,z:669.60,t:28465
x:-248.00,y:-588.20,z:238.60,t:28469
x:214.20,y:67.20,z:-467.00,t:28473
x:371.00,y:496.40,z:-418.60,t:28477
x:-523.60,y:150.20,z:277.20,t:28481
x:-1330.60,y:-1885.60,z:713.40,t:28485
x:95.80,y:-964.80,z:482.40,t:28489
x:1280.20,y:1819.80,z:-913.60,t:28493
x:682.80,y:1429.60,z:-539.00,t:28497
x:95.60,y:1052.00,z:-391.80,t:28500
x:-43.60,y:475.60,z:-282.40,t:28505
x:-298.80,y:-255.80,z:-30.00,t:28509
x:637.40,y:-799.60,z:439.80,t:28513
x:588.40,y:-331.20,z:729.20,t:28517
x:-512.80,y:145.00,z:147.80,t:28521
x:-756.20,y:254.00,z:-754.20,t:28525
x:-407.20,y:176.40,z:-790.60,t:28529
x:614.80,y:-128.80,z:383.40,t:28533
x:611.40,y:311.20,z:655.20,t:28536
x:-310.00,y:-233.20,z:149.40,t:28540
x:-300.00,y:-239.20,z:-353.60,t:28545
x:77.60,y:13.40,z:-365.20,t:28549
x:-393.80,y:-129.80,z:411.40,t:28553
x:-37.40,y:-518.60,z:141.20,t:28557
x:1579.60,y:1516.40,z:-954.00,t:28561
x:220.40,y:1620.60,z:-642.00,t:28565
x:123.60,y:1347.80,z:-454.20,t:28569
x:-949.80,y:-291.00,z:535.20,t:28573
x:-435.00,y:-1279.80,z:496.80,t:28577
x:249.60,y:-491.80,z:-3.00,t:28580
x:162.60,y:260.40,z:154.40,t:28584
x:-421.40,y:854.00,z:-300.80,t:28589
x:-385.00,y:706.80,z:-942.00,t:28593
x:9.40,y:129.20,z:-482.00,t:28597
x:404.60,y:-75.40,z:551.80,t:28601
x:-536.00,y:-16.80,z:328.20,t:28604
x:-1036.00,y:-284.00,z:-664.20,t:28608
x:-63.60,y:-158.00,z:-345.60,t:28612
x:831.00,y:191.80,z:563.00,t:28616
x:287.80,y:4.20,z:564.40,t:28620
x:-265.20,y:-496.80,z:148.80,t:28624
x:364.80,y:206.60,z:-555.40,t:28628
x:238.60,y:526.40,z:-375.40,t:28633
x:-965.60,y:-122.20,z:435.00,t:28636
x:-1238.20,y:-2218.20,z:681.60,t:28641
x:759.40,y:-722.80,z:71.60,t:28644
x:1294.00,y:1751.40,z:-669.60,t:28648
x:-9.40,y:839.40,z:-175.00,t:28652
x:-469.00,y:-385.00,z:392.00,t:28656
x:-359.20,y:-671.80,z:128.20,t:28660
x:113.60,y:-732.60,z:432.80,t:28664
x:37.60,y:-169.80,z:448.80,t:28668
x:-775.00,y:594.80,z:-429.40,t:28673
x:-908.00,y:451.00,z:-1142.80,t:28677
x:69.60,y:12.20,z:-174.60,t:28680
x:873.40,y:-98.00,z:618.80,t:28684
x:515.60,y:27.80,z:469.40,t:28688
x:-497.20,y:-159.80,z:258.40,t:28692
x:-593.20,y:-266.40,z:-572.20,t:28696
x:219.20,y:19.00,z:-410.60,t:28700
x:434.00,y:442.60,z:412.60,t:28703
x:-227.60,y:-131.80,z:367.20,t:28707
x:108.60,y:-264.80,z:-101.40,t:28711
x:1128.00,y:1285.00,z:-815.40,t:28716
x:-105.80,y:975.60,z:-129.80,t:28720
x:-1634.00,y:-772.00,z:646.80,t:28724
x:-422.80,y:-1901.20,z:482.80,t:28728
x:998.40,y:530.60,z:-280.20,t:28732
x:430.20,y:1022.20,z:-359.60,t:28736
x:143.80,y:325.00,z:16.40,t:28740
x:-287.20,y:86.80,z:-79.40,t:28744
x:106.60,y:-602.40,z:237.20,t:28748
x:741.20,y:-753.80,z:632.80,t:28751
x:181.60,y:-213.40,z:632.20,t:28755
x:-788.20,y:169.80,z:-111.80,t:28760
x:-679.60,y:-306.00,z:-732.60,t:28764
x:457.00,y:-541.40,z:-216.60,t:28768
x:704.60,y:-73.20,z:638.20,t:28772
x:116.40,y:221.60,z:259.40,t:28776
x:-594.20,y:362.00,z:-369.40,t:28780
x:-344.00,y:445.00,z:-899.20,t:28784
x:128.80,y:420.20,z:-77.20,t:28787
x:-940.00,y:-456.80,z:672.80,t:28791
x:-408.40,y:-1772.40,z:669.20,t:28795
x:814.20,y:664.80,z:-514.60,t:28800
