-x:-43.20,y:-46.20,z:-14.80,t:19013
x:-26.80,y:-87.00,z:29.20,t:25446

x:22.20,y:85.40,z:70.40,t:25449

:-102.40,z:6.80,t:25438

x:15.00,y:-39.80,z:-18.00,t:25442

x:-26.80,y:-87.00,z:29.20,t:25446

x:22.20,y:85.40,z:70.40,t:25449

x:56.60,y:4.00,z::25438

x:15.00,y:-39.80,z:-18.00,t:25442

x:-26.80,y:-87.00,z:29.20,t:25446

x:22.20,y:85.40,z:70.40,t:25449

x:56.60,y:4.00,z:-26.00,t:25453

x:-71.60,y:-193.60,z:50.80,t:25457

x:33.80,y:76.60,z:47.60,t:25460

x:9.80,y:-56.60,z:-33.00,t:25464

x:-57.40,y:111.60,z:6.40,t:25468

x:60.40,y:21.60,z:-58.00,t:25472

x:-60.40,y:-180.20,z:2.40,t:25476

x:-33.20,y:197.80,z:-15.80,t:25480

x:85.80,y:-48.60,z:-31.00,t:25484

x:-142.20,y:38.40,z:-61.20,t:25487

x:125.40,y:92.60,z:121.80,t:25491

x:-26.80,y:-254.80,z:-0.40,t:25495

x:-119.80,y:110.20,z:27.00,t:25499

x:228.80,y:94.80,z:51.00,t:25502

x:-134.60,y:-150.60,z:-24.00,t:25506

x:-11.20,y:182.40,z:16.40,t:25510

x:105.60,y:-95.20,z:12.80,t:25515

x:-206.60,y:31.80,z:-68.40,t:25519

x:125.20,y:90.20,z:51.20,t:25522

x:-81.20,y:-382.20,z:4.80,t:25526

x:-164.80,y:170.60,z:-51.40,t:25530

x:93.40,y:280.00,z:-93.20,t:25534

x:-53.60,y:-224.80,z:11.20,t:25537

x:3.60,y:170.60,z:-13.20,t:25541

x:103.20,y:-412.00,z:136.00,t:25545

x:-135.40,y:52.40,z:10.80,t:25549

x:62.00,y:252.00,z:-48.60,t:25553

x:27.20,y:-126.80,z:-21.00,t:25556

x:-136.80,y:53.80,z:-9.20,t:25561

x:40.20,y:-11.20,z:23.20,t:25565

x:2.00,y:88.60,z:-92.40,t:25568

x:20.00,y:166.00,z:-19.00,t:25572

x:75.00,y:-221.80,z:126.60,t:25576

x:-95.00,y:4.60,z:-7.60,t:25580

x:28.60,y:145.40,z:5.80,t:25583

x:3.60,y:-108.40,z:27.60,t:25587

x:-68.00,y:-1.00,z:-81.80,t:25591

x:-42.20,y:-105.00,z:45.40,t:25594

x:42.20,y:-2.60,z:10.20,t:25598

x:-21.20,y:61.20,z:-36.20,t:25603

x:29.80,y:-60.60,z:119.60,t:25607

x:33.00,y:-13.40,z:-2.40,t:25610

x:-95.20,y:-124.80,z:27.00,t:25614

x:-7.20,y:8.20,z:-18.00,t:25618

x:14.40,y:14.20,z:-70.00,t:25621

x:-69.40,y:-82.40,z:27.40,t:25625

x:21.20,y:6.00,z:-23.40,t:25629

x:-63.00,y:-90.40,z:-15.40,t:25632

x:-41.60,y:77.00,z:-17.60,t:25636

x:76.20,y:-2.00,z:-43.60,t:25640

x:-109.60,y:-229.80,z:8.20,t:25644

x:40.20,y:121.20,z:13.40,t:25648

x:51.40,y:-66.80,z:-15.60,t:25652

x:-69.00,y:-89.00,z:19.40,t:25656

x:126.80,y:50.80,z:87.80,t:25659

x:-27.20,y:-203.00,z:5.60,t:25663

x:-42.60,y:249.40,z:0.40,t:25667

x:107.20,y:86.00,z:-13.00,t:25670

x:-197.00,y:-122.60,z:-80.40,t:25674

x:-18.60,y:156.00,z:-8.00,t:25678

x:80.60,y:-36.40,z:-81.40,t:25682

x:-136.00,y:84.20,z:-69.80,t:25687

x:145.00,y:98.00,z:57.20,t:25690

x:-99.20,y:-295.00,z:41.40,t:25694

x:-16.80,y:168.20,z:19.00,t:25698

x:196.00,y:108.80,z:-1.80,t:25702

x:-113.80,y:-120.60,z:-41.40,t:25705

x:84.80,y:158.60,z:64.20,t:25709

x:85.60,y:-157.60,z:29.00,t:25713

x:-170.40,y:180.00,z:-54.40,t:25717

x:90.40,y:111.60,z:-21.60,t:25721

x:-48.60,y:-223.40,z:-31.20,t:25724

x:-21.60,y:85.60,z:23.80,t:25729

x:83.20,y:33.40,z:-24.60,t:25733

x:-25.20,y:31.60,z:-45.00,t:25736

x:56.60,y:167.00,z:8.60,t:25740

x:41.60,y:-326.40,z:116.20,t:25744

x:-141.80,y:29.60,z:-1.80,t:25748

x:0.80,y:45.20,z:-18.40,t:25751

x:16.60,y:-151.40,z:-1.40,t:25755

x:-89.80,y:85.80,z:-60.80,t:25759

x:17.60,y:-202.80,z:96.40,t:25762

x:2.40,y:19.80,z:-25.00,t:25766

x:30.40,y:160.40,z:30.80,t:25771

x:102.40,y:-207.80,z:164.60,t:25775

x:-55.20,y:112.00,z:-44.20,t:25779

x:-52.60,y:-152.80,z:11.60,t:25782

x:1.20,y:-64.00,z:-14.60,t:25786

x:-63.80,y:127.00,z:-66.00,t:25790

x:31.60,y:-64.20,z:118.20,t:25793

x:24.20,y:34.60,z:-35.00,t:25797

x:5.40,y:5.80,z:22.20,t:25801

x:38.80,y:63.80,z:81.20,t:25804

x:11.20,y:-67.60,z:-28.60,t:25808

x:-80.00,y:62.60,z:0.60,t:25812

x:29.60,y:72.60,z:-3.20,t:25816

x:-20.20,y:-136.40,z:-33.40,t:25820

